104052 silly lifecycle stream-combiner2@1.0.2~preinstall: no script for preinstall, continuing
104156 silly lifecycle finalhandler@0.4.1~preinstall: no script for preinstall, continuing
104157 silly lifecycle punycode@1.3.2~preinstall: no script for preinstall, continuing
104158 silly lifecycle url@0.10.3~preinstall: no script for preinstall, continuing
104159 silly lifecycle user-home@1.1.1~preinstall: no script for preinstall, continuing
104160 silly lifecycle home-or-tmp@1.0.0~preinstall: no script for preinstall, continuing
104161 silly lifecycle babel-register@6.9.0~preinstall: no script for preinstall, continuing
104162 silly lifecycle babel-core@6.9.1~preinstall: no script for preinstall, continuing
104163 silly lifecycle babelify@7.3.0~preinstall: no script for preinstall, continuing
104164 silly lifecycle babel-plugin-transform-regenerator@6.9.0~preinstall: no script for preinstall, continuing
104165 silly lifecycle babel-preset-es2015@6.9.0~preinstall: no script for preinstall, continuing
104166 silly lifecycle utf8@2.1.0~preinstall: no script for preinstall, continuing
104167 silly lifecycle engine.io-parser@1.2.4~preinstall: no script for preinstall, continuing
104168 silly lifecycle util@0.10.3~preinstall: no script for preinstall, continuing
104169 silly lifecycle assert@1.3.0~preinstall: no script for preinstall, continuing
104170 silly lifecycle util-deprecate@1.0.2~preinstall: no script for preinstall, continuing
104171 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
104172 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104173 silly lifecycle stream-browserify@2.0.1~preinstall: no script for preinstall, continuing
104174 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104175 silly lifecycle stream-array@1.1.2~preinstall: no script for preinstall, continuing
104176 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104177 silly lifecycle readdirp@2.0.0~preinstall: no script for preinstall, continuing
104178 silly lifecycle chokidar@1.5.1~preinstall: no script for preinstall, continuing
104179 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104180 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104181 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
104182 silly lifecycle bl@1.0.3~preinstall: no script for preinstall, continuing
104183 silly lifecycle utils-merge@1.0.0~preinstall: no script for preinstall, continuing
104184 silly lifecycle connect@3.4.1~preinstall: no script for preinstall, continuing
104185 silly lifecycle v8flags@2.0.11~preinstall: no script for preinstall, continuing
104186 silly lifecycle validate-npm-package-license@3.0.1~preinstall: no script for preinstall, continuing
104187 silly lifecycle normalize-package-data@2.3.5~preinstall: no script for preinstall, continuing
104188 silly lifecycle read-pkg@1.1.0~preinstall: no script for preinstall, continuing
104189 silly lifecycle read-pkg-up@1.0.1~preinstall: no script for preinstall, continuing
104190 silly lifecycle meow@3.7.0~preinstall: no script for preinstall, continuing
104191 silly lifecycle dateformat@1.0.12~preinstall: no script for preinstall, continuing
104192 silly lifecycle vinyl@0.5.3~preinstall: no script for preinstall, continuing
104193 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
104194 silly lifecycle bl@0.9.5~preinstall: no script for preinstall, continuing
104195 silly lifecycle vinyl@1.1.1~preinstall: no script for preinstall, continuing
104196 silly lifecycle vinyl-file@1.3.0~preinstall: no script for preinstall, continuing
104197 silly lifecycle clone@0.2.0~preinstall: no script for preinstall, continuing
104198 silly lifecycle graceful-fs@3.0.8~preinstall: no script for preinstall, continuing
104199 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
104200 silly lifecycle strip-bom@1.0.0~preinstall: no script for preinstall, continuing
104201 silly lifecycle vinyl@0.4.6~preinstall: no script for preinstall, continuing
104202 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
104203 silly lifecycle clone@0.2.0~preinstall: no script for preinstall, continuing
104204 silly lifecycle readable-stream@1.0.34~preinstall: no script for preinstall, continuing
104205 silly lifecycle vinyl@0.4.6~preinstall: no script for preinstall, continuing
104206 silly lifecycle source-map@0.1.43~preinstall: no script for preinstall, continuing
104207 silly lifecycle vinyl-sourcemaps-apply@0.1.4~preinstall: no script for preinstall, continuing
104208 silly lifecycle vm-browserify@0.0.4~preinstall: no script for preinstall, continuing
104209 silly lifecycle base64-js@1.1.2~preinstall: no script for preinstall, continuing
104210 silly lifecycle builtin-status-codes@2.0.0~preinstall: no script for preinstall, continuing
104211 silly lifecycle constants-browserify@1.0.0~preinstall: no script for preinstall, continuing
104212 silly lifecycle convert-source-map@1.1.3~preinstall: no script for preinstall, continuing
104213 silly lifecycle events@1.1.0~preinstall: no script for preinstall, continuing
104214 silly lifecycle inline-source-map@0.6.2~preinstall: no script for preinstall, continuing
104215 silly lifecycle combine-source-map@0.7.2~preinstall: no script for preinstall, continuing
104216 silly lifecycle isarray@1.0.0~preinstall: no script for preinstall, continuing
104217 silly lifecycle readable-stream@2.0.6~preinstall: no script for preinstall, continuing
104218 silly lifecycle concat-stream@1.5.1~preinstall: no script for preinstall, continuing
104219 silly lifecycle buffer@4.6.0~preinstall: no script for preinstall, continuing
104220 silly lifecycle isarray@0.0.1~preinstall: no script for preinstall, continuing
104221 silly lifecycle readable-stream@2.1.4~preinstall: no script for preinstall, continuing
104222 silly lifecycle read-only-stream@2.0.0~preinstall: no script for preinstall, continuing
104223 silly lifecycle duplexer2@0.1.4~preinstall: no script for preinstall, continuing
104224 silly lifecycle shell-quote@1.6.0~preinstall: no script for preinstall, continuing
104225 silly lifecycle stream-combiner2@1.1.1~preinstall: no script for preinstall, continuing
104226 silly lifecycle stream-splicer@2.0.0~preinstall: no script for preinstall, continuing
104227 silly lifecycle labeled-stream-splicer@2.0.0~preinstall: no script for preinstall, continuing
104228 silly lifecycle punycode@1.3.2~preinstall: no script for preinstall, continuing
104229 silly lifecycle url@0.11.0~preinstall: no script for preinstall, continuing
104230 silly lifecycle underscore@1.7.0~preinstall: no script for preinstall, continuing
104231 silly lifecycle weinre@2.0.0-pre-I0Z7U9OV~preinstall: no script for preinstall, continuing
104232 silly lifecycle browser-sync-ui@0.6.0~preinstall: no script for preinstall, continuing
104233 silly lifecycle when@3.7.7~preinstall: no script for preinstall, continuing
104234 silly lifecycle fobject@0.0.4~preinstall: no script for preinstall, continuing
104235 silly lifecycle whet.extend@0.9.9~preinstall: no script for preinstall, continuing
104236 silly lifecycle svgo@0.6.6~preinstall: no script for preinstall, continuing
104237 silly lifecycle postcss-svgo@2.1.3~preinstall: no script for preinstall, continuing
104238 silly lifecycle cssnano@3.7.0~preinstall: no script for preinstall, continuing
104239 silly lifecycle which@1.2.10~preinstall: no script for preinstall, continuing
104240 silly lifecycle node-notifier@4.6.0~preinstall: no script for preinstall, continuing
104241 silly lifecycle global-prefix@0.1.4~preinstall: no script for preinstall, continuing
104242 silly lifecycle global-modules@0.2.2~preinstall: no script for preinstall, continuing
104243 silly lifecycle resolve-dir@0.1.0~preinstall: no script for preinstall, continuing
104244 silly lifecycle findup-sync@0.4.1~preinstall: no script for preinstall, continuing
104245 silly lifecycle gulp-load-plugins@1.2.4~preinstall: no script for preinstall, continuing
104246 silly lifecycle window-size@0.1.4~preinstall: no script for preinstall, continuing
104247 silly lifecycle wordwrap@0.0.2~preinstall: no script for preinstall, continuing
104248 silly lifecycle cliui@2.1.0~preinstall: no script for preinstall, continuing
104249 silly lifecycle yargs@3.10.0~preinstall: no script for preinstall, continuing
104250 silly lifecycle uglify-js@2.6.2~preinstall: no script for preinstall, continuing
104251 silly lifecycle wrap-ansi@2.0.0~preinstall: no script for preinstall, continuing
104252 silly lifecycle cliui@3.2.0~preinstall: no script for preinstall, continuing
104253 silly lifecycle wrappy@1.0.2~preinstall: no script for preinstall, continuing
104254 silly lifecycle once@1.3.3~preinstall: no script for preinstall, continuing
104255 silly lifecycle end-of-stream@0.1.5~preinstall: no script for preinstall, continuing
104256 silly lifecycle orchestrator@0.3.7~preinstall: no script for preinstall, continuing
104257 silly lifecycle end-of-stream@1.1.0~preinstall: no script for preinstall, continuing
104258 silly lifecycle async-done@1.2.1~preinstall: no script for preinstall, continuing
104259 silly lifecycle gulp-batch@1.0.5~preinstall: no script for preinstall, continuing
104260 silly lifecycle inflight@1.0.5~preinstall: no script for preinstall, continuing
104261 silly lifecycle glob@6.0.4~preinstall: no script for preinstall, continuing
104262 silly lifecycle glob@7.0.3~preinstall: no script for preinstall, continuing
104263 silly lifecycle rimraf@2.5.2~preinstall: no script for preinstall, continuing
104264 silly lifecycle fstream@1.0.9~preinstall: no script for preinstall, continuing
104265 silly lifecycle tar@2.2.1~preinstall: no script for preinstall, continuing
104266 silly lifecycle fs-extra@0.26.7~preinstall: no script for preinstall, continuing
104267 silly lifecycle glob@7.0.3~preinstall: no script for preinstall, continuing
104268 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
104269 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
104270 silly lifecycle glob@5.0.15~preinstall: no script for preinstall, continuing
104271 silly lifecycle globby@2.1.0~preinstall: no script for preinstall, continuing
104272 silly lifecycle del@1.2.1~preinstall: no script for preinstall, continuing
104273 silly lifecycle findup-sync@0.3.0~preinstall: no script for preinstall, continuing
104274 silly lifecycle liftoff@2.2.1~preinstall: no script for preinstall, continuing
104275 silly lifecycle glob@4.5.3~preinstall: no script for preinstall, continuing
104276 silly lifecycle glob@7.0.3~preinstall: no script for preinstall, continuing
104277 silly lifecycle accord@0.23.0~preinstall: no script for preinstall, continuing
104278 silly lifecycle ws@1.0.1~preinstall: no script for preinstall, continuing
104279 silly lifecycle engine.io@1.6.9~preinstall: no script for preinstall, continuing
104280 silly lifecycle xmlhttprequest-ssl@1.5.1~preinstall: no script for preinstall, continuing
104281 silly lifecycle xtend@4.0.1~preinstall: no script for preinstall, continuing
104282 silly lifecycle stream-http@2.3.0~preinstall: no script for preinstall, continuing
104283 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104284 silly lifecycle vinyl-source-stream@1.1.0~preinstall: no script for preinstall, continuing
104285 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104286 silly lifecycle vinyl-paths@1.0.0~preinstall: no script for preinstall, continuing
104287 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104288 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104289 silly lifecycle vinyl-buffer@1.0.0~preinstall: no script for preinstall, continuing
104290 silly lifecycle through2@2.0.1~preinstall: no script for preinstall, continuing
104291 silly lifecycle module-deps@4.0.7~preinstall: no script for preinstall, continuing
104292 silly lifecycle insert-module-globals@7.0.1~preinstall: no script for preinstall, continuing
104293 silly lifecycle deps-sort@2.0.0~preinstall: no script for preinstall, continuing
104294 silly lifecycle browser-pack@6.0.1~preinstall: no script for preinstall, continuing
104295 silly lifecycle browserify@13.0.1~preinstall: no script for preinstall, continuing
104296 silly lifecycle watchify@3.7.0~preinstall: no script for preinstall, continuing
104297 silly lifecycle gulp-util@3.0.7~preinstall: no script for preinstall, continuing
104298 silly lifecycle run-sequence@1.2.1~preinstall: no script for preinstall, continuing
104299 silly lifecycle gulp-watch@4.3.6~preinstall: no script for preinstall, continuing
104300 silly lifecycle gulp-cssnano@2.1.2~preinstall: no script for preinstall, continuing
104301 silly lifecycle gulp-uglify@1.5.3~preinstall: no script for preinstall, continuing
104302 silly lifecycle gulp-sourcemaps@1.6.0~preinstall: no script for preinstall, continuing
104303 silly lifecycle gulp-shell@0.5.2~preinstall: no script for preinstall, continuing
104304 silly lifecycle gulp-rev-replace@0.4.3~preinstall: no script for preinstall, continuing
104305 silly lifecycle gulp-less@3.1.0~preinstall: no script for preinstall, continuing
104306 silly lifecycle gulp-babel@6.1.2~preinstall: no script for preinstall, continuing
104307 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104308 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104309 silly lifecycle stream-splicer@1.3.2~preinstall: no script for preinstall, continuing
104310 silly lifecycle labeled-stream-splicer@1.0.2~preinstall: no script for preinstall, continuing
104311 silly lifecycle stream-http@1.7.1~preinstall: no script for preinstall, continuing
104312 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104313 silly lifecycle module-deps@3.9.1~preinstall: no script for preinstall, continuing
104314 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104315 silly lifecycle merge-stream@0.1.8~preinstall: no script for preinstall, continuing
104316 silly lifecycle ternary-stream@1.2.3~preinstall: no script for preinstall, continuing
104317 silly lifecycle is-my-json-valid@2.13.1~preinstall: no script for preinstall, continuing
104318 silly lifecycle har-validator@2.0.6~preinstall: no script for preinstall, continuing
104319 silly lifecycle request@2.65.0~preinstall: no script for preinstall, continuing
104320 silly lifecycle node-gyp@3.3.1~preinstall: no script for preinstall, continuing
104321 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104322 silly lifecycle insert-module-globals@6.6.3~preinstall: no script for preinstall, continuing
104323 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104324 silly lifecycle gulp-rev@5.1.0~preinstall: no script for preinstall, continuing
104325 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104326 silly lifecycle gulp-notify@2.2.0~preinstall: no script for preinstall, continuing
104327 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104328 silly lifecycle gulp-if@1.2.5~preinstall: no script for preinstall, continuing
104329 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104330 silly lifecycle gulp-concat@2.6.0~preinstall: no script for preinstall, continuing
104331 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104332 silly lifecycle gulp-coffee@2.3.2~preinstall: no script for preinstall, continuing
104333 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104334 silly lifecycle gulp-autoprefixer@2.3.1~preinstall: no script for preinstall, continuing
104335 silly lifecycle through2@0.6.5~preinstall: no script for preinstall, continuing
104336 silly lifecycle glob-stream@3.1.18~preinstall: no script for preinstall, continuing
104337 silly lifecycle vinyl-fs@0.3.14~preinstall: no script for preinstall, continuing
104338 silly lifecycle gulp@3.9.1~preinstall: no script for preinstall, continuing
104339 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104340 silly lifecycle deps-sort@1.3.9~preinstall: no script for preinstall, continuing
104341 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104342 silly lifecycle through2@1.1.1~preinstall: no script for preinstall, continuing
104343 silly lifecycle browser-pack@5.0.1~preinstall: no script for preinstall, continuing
104344 silly lifecycle browserify@11.2.0~preinstall: no script for preinstall, continuing
104345 silly lifecycle y18n@3.2.1~preinstall: no script for preinstall, continuing
104346 silly lifecycle yargs@3.32.0~preinstall: no script for preinstall, continuing
104347 silly lifecycle sass-graph@2.1.1~preinstall: no script for preinstall, continuing
104348 silly lifecycle yargs@3.29.0~preinstall: no script for preinstall, continuing
104349 silly lifecycle localtunnel@1.8.1~preinstall: no script for preinstall, continuing
104350 silly lifecycle yallist@2.0.0~preinstall: no script for preinstall, continuing
104351 silly lifecycle lru-cache@4.0.1~preinstall: no script for preinstall, continuing
104352 silly lifecycle cross-spawn-async@2.2.4~preinstall: no script for preinstall, continuing
104353 silly lifecycle node-sass@3.7.0~preinstall: no script for preinstall, continuing
104354 silly lifecycle gulp-sass@2.3.1~preinstall: no script for preinstall, continuing
104355 silly lifecycle yargs-parser@2.4.0~preinstall: no script for preinstall, continuing
104356 silly lifecycle camelcase@3.0.0~preinstall: no script for preinstall, continuing
104357 silly lifecycle window-size@0.2.0~preinstall: no script for preinstall, continuing
104358 silly lifecycle yargs@4.7.1~preinstall: no script for preinstall, continuing
104359 silly lifecycle yeast@0.1.2~preinstall: no script for preinstall, continuing
104360 silly lifecycle engine.io-client@1.6.9~preinstall: no script for preinstall, continuing
104361 silly lifecycle socket.io-client@1.4.6~preinstall: no script for preinstall, continuing
104362 silly lifecycle socket.io@1.4.6~preinstall: no script for preinstall, continuing
104363 silly lifecycle browser-sync@2.13.0~preinstall: no script for preinstall, continuing
104364 silly lifecycle laravel-elixir@5.0.0~preinstall: no script for preinstall, continuing
104365 silly doReverseSerial remove 0
104366 silly doSerial move 0
104367 silly doSerial finalize 976
104368 silly finalize /home/francesco/blog/node_modules/abbrev
104369 silly finalize /home/francesco/blog/node_modules/accord/node_modules/lodash
104370 silly finalize /home/francesco/blog/node_modules/accord/node_modules/semver
104371 silly finalize /home/francesco/blog/node_modules/acorn
104372 silly finalize /home/francesco/blog/node_modules/after
104373 silly finalize /home/francesco/blog/node_modules/alphanum-sort
104374 silly finalize /home/francesco/blog/node_modules/amdefine
104375 silly finalize /home/francesco/blog/node_modules/ansi
104376 silly finalize /home/francesco/blog/node_modules/ansi-regex
104377 silly finalize /home/francesco/blog/node_modules/ansi-styles
104378 silly finalize /home/francesco/blog/node_modules/ansicolors
104379 silly finalize /home/francesco/blog/node_modules/archy
104380 silly finalize /home/francesco/blog/node_modules/arr-flatten
104381 silly finalize /home/francesco/blog/node_modules/arr-diff
104382 silly finalize /home/francesco/blog/node_modules/array-differ
104383 silly finalize /home/francesco/blog/node_modules/array-filter
104384 silly finalize /home/francesco/blog/node_modules/array-find-index
104385 silly finalize /home/francesco/blog/node_modules/array-map
104386 silly finalize /home/francesco/blog/node_modules/array-reduce
104387 silly finalize /home/francesco/blog/node_modules/array-uniq
104388 silly finalize /home/francesco/blog/node_modules/array-union
104389 silly finalize /home/francesco/blog/node_modules/array-unique
104390 silly finalize /home/francesco/blog/node_modules/arraybuffer.slice
104391 silly finalize /home/francesco/blog/node_modules/arrify
104392 silly finalize /home/francesco/blog/node_modules/asap
104393 silly finalize /home/francesco/blog/node_modules/asn1
104394 silly finalize /home/francesco/blog/node_modules/assert-plus
104395 silly finalize /home/francesco/blog/node_modules/astw
104396 silly finalize /home/francesco/blog/node_modules/async
104397 silly finalize /home/francesco/blog/node_modules/async-each
104398 silly finalize /home/francesco/blog/node_modules/async-each-series
104399 silly finalize /home/francesco/blog/node_modules/async-foreach
104400 silly finalize /home/francesco/blog/node_modules/aws-sign2
104401 silly finalize /home/francesco/blog/node_modules/babel-core/node_modules/lodash
104402 silly finalize /home/francesco/blog/node_modules/babel-core/node_modules/path-exists
104403 silly finalize /home/francesco/blog/node_modules/babel-generator/node_modules/lodash
104404 silly finalize /home/francesco/blog/node_modules/babel-helper-builder-react-jsx/node_modules/lodash
104405 silly finalize /home/francesco/blog/node_modules/babel-helper-define-map/node_modules/lodash
104406 silly finalize /home/francesco/blog/node_modules/babel-helper-regex/node_modules/lodash
104407 silly finalize /home/francesco/blog/node_modules/babel-plugin-transform-es2015-block-scoping/node_modules/lodash
104408 silly finalize /home/francesco/blog/node_modules/babel-register/node_modules/lodash
104409 silly finalize /home/francesco/blog/node_modules/babel-register/node_modules/path-exists
104410 silly finalize /home/francesco/blog/node_modules/babel-template/node_modules/lodash
104411 silly finalize /home/francesco/blog/node_modules/babel-traverse/node_modules/lodash
104412 silly finalize /home/francesco/blog/node_modules/babel-types/node_modules/lodash
104413 silly finalize /home/francesco/blog/node_modules/babelify/node_modules/object-assign
104414 silly finalize /home/francesco/blog/node_modules/backo2
104415 silly finalize /home/francesco/blog/node_modules/balanced-match
104416 silly finalize /home/francesco/blog/node_modules/base64-arraybuffer
